resume_text,role
Python SQL Flask Machine Learning Scikit Learn Pandas,NLP Engineer
Python TensorFlow Deep Learning CNN RNN,AI Engineer
Python SQL Power BI Excel Tableau Data Visualization,Data Analyst
React JavaScript HTML CSS Redux,Frontend Developer
NodeJS Express MongoDB REST API,Backend Developer
Django PostgreSQL Python REST Framework,Backend Developer
Python Pandas NumPy Statistics Power BI,Data Analyst
TensorFlow Keras Deep Learning Computer Vision,Computer Vision Engineer
Java Spring Boot Microservices MySQL,Java Developer
Python Flask React PostgreSQL Full Stack Development,Full Stack Developer
AWS Docker Kubernetes CI CD DevOps,DevOps Engineer
Python NLP Transformers HuggingFace LLMs,Machine Learning Engineer
SQL Data Warehousing ETL Power BI,BI Developer
React NextJS TypeScript TailwindCSS,Frontend Developer
Cybersecurity Network Security Ethical Hacking,Cyber Security Analyst
Python OpenCV YOLO Deep Learning,Computer Vision Engineer
PyTorch Deep Learning Transformers LLMs,AI Engineer
SQL Tableau Excel Reporting Analytics,Data Analyst
Django Flask REST APIs PostgreSQL,Backend Developer
React Redux JavaScript TailwindCSS,Frontend Developer
