title,company,skills
Machine Learning Engineer,Google,Python Machine Learning SQL Deep Learning
AI Engineer,OpenAI,Python NLP Transformers LLM Deep Learning
Data Analyst,Deloitte,Power BI SQL Excel Statistics
Business Analyst,Accenture,SQL Excel Power BI Reporting
Frontend Developer,Adobe,React JavaScript CSS HTML TypeScript
Backend Developer,IBM,Django Flask PostgreSQL APIs
Full Stack Developer,Microsoft,React Flask SQL Docker
Data Scientist,Amazon,Python Pandas Machine Learning Statistics
Cyber Security Analyst,TCS,Cyber Security Networking Linux
DevOps Engineer,Infosys,AWS Docker Kubernetes Linux
Cloud Engineer,Wipro,AWS Azure DevOps Terraform
Python Developer,Capgemini,Python Flask APIs SQL
Software Engineer,NatWest,Java Python SQL Data Structures
AI Research Engineer,Anthropic,Python Transformers LLM Deep Learning
ML Engineer,NVIDIA,Python PyTorch Machine Learning CUDA
