"Input","Output","Style","Quality"
I wasn’t able to join the webinar as I was traveling and got quite exhausted,I wasn’t able to join the webinar as i was traveling and got quite exhausted.,formal,bad
I wasn’t able to join the webinar as I was traveling and got quite exhausted,I wasn’t able to join the webinar because I was traveling and getting exhausted.,expressive,good
I wasn’t able to join the webinar as I was traveling and got quite exhausted,I wasn’t able to join the webinar as I was traveling and got quite exhausted.,casual,bad
"we could make a plan tomorrow, i am free whole day","We could make a plan tomorrow, I am free whole day.",formal,bad
"we could make a plan tomorrow, i am free whole day","We could make a plan tomorrow, I am free all day.",expressive,bad
"we could make a plan tomorrow, i am free whole day",I can make a plan with you tomorrow,casual,good
me and my friends were planning to go out tonight you wanna join us?,"My friends and I are planning to go out tonight, do you want to join us?",formal,good
me and my friends were planning to go out tonight you wanna join us?,I and my friends were planning to go out tonight. Would you like to join us?,expressive,good
me and my friends were planning to go out tonight you wanna join us?,My friends and I would like to go out tonight will you join us?,casual,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,Regret to inform you that i will not be able to attend the meeting due to previous commitments.,formal,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I will not be able to attend the meeting because of prior commitments.,expressive,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I am sorry to inform you that i will not be able to attend the meeting.,casual,good
Please submit the assignment before the deadline to avoid any penalties.,Please submit the assignment before the deadline to avoid penalties.,formal,good
Please submit the assignment before the deadline to avoid any penalties.,The deadline for submission of assignments is tomorrow at the latest.,expressive,unrated
Please submit the assignment before the deadline to avoid any penalties.,I'm sorry but we're looking for you to submit your homework before the due date.,casual,good
me and my friends were planning to go out tonight you wanna join us?,Yes i am planning to go out with my friends tonight,formal,bad
me and my friends were planning to go out tonight you wanna join us?,Me and my friends were going out tonight. Would you like to join us?,expressive,good
me and my friends were planning to go out tonight you wanna join us?,Will you be able to go out tonight with me and my people?,casual,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I can't attend the meeting due to prior commitments.,formal,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I'm sorry I won't be able to attend the meeting due to prior commitments.,expressive,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I regret that I cannot make it to the meeting due to prior commitments.,casual,good
I was really excited about the trip but it got cancelled at the last moment.,I was excited about the trip but it was cancelled.,formal,bad
I was really excited about the trip but it got cancelled at the last moment.,"I was really happy about the trip, but unfortunately it was cancelled.",expressive,good
I was really excited about the trip but it got cancelled at the last moment.,I was looking forward to my trip but it got cancelled.,casual,good
Please submit the assignment before the deadline to avoid any penalties.,Please submit the assignment before the deadline.,formal,bad
Please submit the assignment before the deadline to avoid any penalties.,You need to submit the assignment before the deadline or you will face consequences.,expressive,good
Please submit the assignment before the deadline to avoid any penalties.,"If you are having trouble, please submit your homework before the deadline.",casual,bad
"I have been meaning to organize my schedule, but something always comes up",I have been meaning to organize my schedule but something always comes up.,formal,bad
"I have been meaning to organize my schedule, but something always comes up",Something always comes up whenever I'm trying to organize my schedule,expressive,good
"I have been meaning to organize my schedule, but something always comes up",I have been wanting to organize my schedule. But something always comes up,casual,bad
"Technology is evolving rapidly, and keeping up with it requires constant learning",Technology is evolving quickly in order to keep up with it requires constant learning.,formal,good
"Technology is evolving rapidly, and keeping up with it requires constant learning",Technology is developing quickly and it requires constant learning to keep up with it.,expressive,good
"Technology is evolving rapidly, and keeping up with it requires constant learning",Technology is evolving rapidly and learning to keep up with it requires constant effort.,casual,good
"She didn’t expect the results to turn out this way, but she adapted quickly","She didn’t expect the results to turn out this way, but she adapted quickly.",formal,bad
"She didn’t expect the results to turn out this way, but she adapted quickly","She didn't expect the results to turn out as she hoped, but adapted quickly.",expressive,unrated
"She didn’t expect the results to turn out this way, but she adapted quickly",She didn’t expect the results to turn out as hoped but she quickly got used to it.,casual,good
"If you plan things carefully, even complex tasks can become manageable.","If you plan things carefully, even complicated tasks can become manageable.",formal,unrated
"If you plan things carefully, even complex tasks can become manageable.","When you plan things carefully, even complicated tasks can become manageable.",expressive,unrated
"If you plan things carefully, even complex tasks can become manageable.","If you plan your tasks well, even complicated ones can become manageable.",casual,good
she didnt expect the result but adapted quickly,She didn't expect the result but adapted quickly.,formal,unrated
she didnt expect the result but adapted quickly,"The result was unexpected to her, but she quickly adjusted to it.",expressive,good
she didnt expect the result but adapted quickly,She didn’t expect the outcome but she bounced back quickly.,casual,good
"She didn’t expect the results to turn out this way, but she adapted quickly","She did n't expect the results to turn out this way, but she was very adaptable.",formal,good
"She didn’t expect the results to turn out this way, but she adapted quickly",She didn’t expect the results to turn out as she expected but she quickly adapted to the situation.,expressive,good
