"Input","Output","Style","Quality"
me and my friends were planning to go out tonight you wanna join us?,"My friends and I are planning to go out tonight, do you want to join us?",formal,good
me and my friends were planning to go out tonight you wanna join us?,I and my friends were planning to go out tonight. Would you like to join us?,expressive,good
me and my friends were planning to go out tonight you wanna join us?,My friends and I would like to go out tonight will you join us?,casual,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,Regret to inform you that i will not be able to attend the meeting due to previous commitments.,formal,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I will not be able to attend the meeting because of prior commitments.,expressive,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I am sorry to inform you that i will not be able to attend the meeting.,casual,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I can't attend the meeting due to prior commitments.,formal,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I'm sorry I won't be able to attend the meeting due to prior commitments.,expressive,good
I regret to inform you that I will not be able to attend the meeting due to prior commitments.,I regret that I cannot make it to the meeting due to prior commitments.,casual,good
"Technology is evolving rapidly, and keeping up with it requires constant learning",Technology is evolving quickly in order to keep up with it requires constant learning.,formal,good
"Technology is evolving rapidly, and keeping up with it requires constant learning",Technology is developing quickly and it requires constant learning to keep up with it.,expressive,good
"Technology is evolving rapidly, and keeping up with it requires constant learning",Technology is evolving rapidly and learning to keep up with it requires constant effort.,casual,good
"She didn’t expect the results to turn out this way, but she adapted quickly","She did n't expect the results to turn out this way, but she was very adaptable.",formal,good
"She didn’t expect the results to turn out this way, but she adapted quickly",She didn’t expect the results to turn out as she expected but she quickly adapted to the situation.,expressive,good
"She didn’t expect the results to turn out this way, but she adapted quickly",She didn't expect that the result would turn out this way but she bounced back quickly.,casual,good
i was very very happy and excited about the event but it got cancelled suddenly,I was excited about the event but it got cancelled suddenly.,formal,good
i was very very happy and excited about the event but it got cancelled suddenly,I was very excited about the event but it was cancelled.,expressive,good
i was very very happy and excited about the event but it got cancelled suddenly,"I was very excited about the event, but it got cancelled.",casual,good
